crime,number,date,location,beat,neighborhood,npu,lat,long,Month,Day,Year,latLong,name,rating,vicinity,price level,user_ratings_total,store count,new_column
BURGLARY-RESIDENCE,162992528,10/25/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74,-84.35,10,25,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162992584,10/25/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74,-84.35,10,25,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162992627,10/25/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74,-84.35,10,25,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162791866,10/05/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74,-84.35,10,5,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,162772946,10/03/2016,1152 PORTLAND AVE SE,607,Ormewood Park,W,33.74,-84.35,10,3,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163312260,11/26/2016,1037 FAITH AVE SE,606,Ormewood Park,W,33.74,-84.35,11,26,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163192499,11/14/2016,1128 GLENWOOD AVE SE,606,Ormewood Park,W,33.74,-84.35,11,14,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163150396,11/10/2016,461 FLORIDA AVE SE,606,Ormewood Park,W,33.74,-84.35,11,10,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,163130076,11/08/2016,431 FLORIDA AVE SE,606,Ormewood Park,W,33.74,-84.35,11,8,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,160271257,01/27/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74,-84.35,1,27,2016,"33.74,-84.35",,,,,,3,store count
BURGLARY-RESIDENCE,160073000,01/07/2016,470 FLORIDA AVE SE,606,Ormewood Park,W,33.74,-84.35,1,7,2016,"33.74,-84.35",,,,,,3,store count
