crime,number,date,location,beat,neighborhood,npu,lat,long,Month,Day,Year
HOMICIDE,163051391092,10/31/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74173,-84.34749000000001,10,31,2016
AUTO THEFT,163030548,10/31/2016,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149,10,31,2016
LARCENY-FROM VEHICLE,163041611,10/31/2016,1783 JOHNSON RD NW,110,Rockdale,G,33.785470000000004,-84.44593,10,31,2016
LARCENY-FROM VEHICLE,163050183,10/31/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835,10,31,2016
AUTO THEFT,163050218,10/31/2016,2264 COUNTRY CLUB DR SW,409,Southwest,R,33.69384,-84.49398000000001,10,31,2016
AUTO THEFT,163050227,10/31/2016,2360 SANDSPRING DR SW,412,Sandlewood Estates,P,33.70174,-84.53788,10,31,2016
LARCENY-FROM VEHICLE,163050265,10/31/2016,320 LUCKIE ST NW,508,Downtown,M,33.7632,-84.39636999999999,10,31,2016
LARCENY-FROM VEHICLE,163050298,10/31/2016,31 BAKER ST NW,508,Downtown,M,33.762570000000004,-84.38866999999999,10,31,2016
LARCENY-FROM VEHICLE,163050348,10/31/2016,3800 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65635,-84.51326999999999,10,31,2016
LARCENY-FROM VEHICLE,163050380,10/31/2016,250 PIEDMONT AVE NE @HILTON OFFICE TOWER,509,Downtown,M,33.76126,-84.38223,10,31,2016
AGG ASSAULT,163050389,10/31/2016,520 FULTON ST SW,303,Mechanicsville,V,33.74092,-84.40419,10,31,2016
LARCENY-NON VEHICLE,163050403,10/31/2016,720 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77276,-84.41089000000001,10,31,2016
LARCENY-FROM VEHICLE,163050408,10/31/2016,950 MARIETTA ST,504,Marietta Street Artery,E,33.77682,-84.40822,10,31,2016
BURGLARY-RESIDENCE,163050418,10/31/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968,10,31,2016
