,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions
0,01,01,6,42.8,67.84,0.0,13.3,Partially cloudy
1,01,02,15,40.0,58.12,0.0,13.8,Partially cloudy
2,01,03,7,42.2,54.95,0.0,12.7,Partially cloudy
3,01,04,13,38.5,53.05,0.0,16.7,Clear
4,01,05,10,34.6,44.61,0.0,12.6,Clear
5,01,06,12,36.4,40.56,0.0,15.6,Partially cloudy
6,01,07,12,50.1,56.86,0.0,11.7,Overcast
7,01,08,15,51.1,85.55,0.23,9.9,"Rain, Overcast"
8,01,09,9,49.9,88.55,0.3,11.0,"Rain, Overcast"
9,01,10,6,41.3,73.85,0.06,18.3,"Rain, Overcast"
10,01,11,15,32.0,50.33,0.0,11.0,Clear
11,01,12,13,39.6,49.58,0.0,16.1,Clear
12,01,13,15,39.0,47.92,0.0,11.5,Clear
13,01,14,13,43.3,55.54,0.0,9.7,Partially cloudy
14,01,15,14,44.9,82.62,1.44,13.9,"Rain, Overcast"
15,01,16,8,50.8,71.44,0.0,11.5,Partially cloudy
16,01,17,4,40.2,64.66,0.07,17.8,"Rain, Partially cloudy"
17,01,18,11,31.7,48.58,0.0,16.1,Clear
18,01,19,9,28.3,42.25,0.0,12.7,Clear
19,01,20,13,35.2,61.03,0.11,7.5,"Rain, Overcast"
20,01,21,16,43.1,83.7,0.45,12.8,"Rain, Overcast"
21,01,22,12,40.1,88.58,1.86,18.5,"Rain, Overcast"
22,01,23,7,29.5,69.25,0.0,24.7,Overcast
23,01,24,8,34.9,56.26,0.0,14.4,Clear
24,01,25,10,42.1,55.14,0.0,8.6,Partially cloudy
25,01,26,13,47.5,71.94,0.11,8.1,"Rain, Overcast"
26,01,27,22,44.6,81.95,0.14,11.5,"Rain, Overcast"
27,01,28,14,44.2,63.41,0.0,8.1,Partially cloudy
28,01,29,11,44.6,54.65,0.0,19.0,Clear
29,01,30,6,48.4,56.01,0.0,11.4,Clear
30,01,31,13,54.1,72.54,0.0,10.4,Partially cloudy
31,02,01,13,60.5,81.29,0.02,11.0,"Rain, Partially cloudy"
32,02,02,15,62.2,81.33,0.01,19.6,"Rain, Overcast"
33,02,03,11,60.7,83.0,2.0,18.5,"Rain, Overcast"
34,02,04,9,45.9,53.17,0.0,19.0,Clear
35,02,05,10,39.1,40.22,0.0,23.1,Clear
36,02,06,9,39.6,47.33,0.0,9.3,Partially cloudy
37,02,07,6,42.2,45.93,0.0,13.3,Clear
38,02,08,11,42.5,47.61,0.0,19.0,Partially cloudy
39,02,09,5,33.7,55.5,0.0,18.1,Overcast
40,02,10,4,30.2,44.53,0.0,17.8,Partially cloudy
41,02,11,6,40.7,40.86,0.0,6.4,Clear
42,02,12,8,46.7,49.99,0.0,17.4,Partially cloudy
43,02,13,8,35.4,39.83,0.0,17.9,Clear
44,02,14,4,37.2,35.08,0.0,13.2,Partially cloudy
45,02,15,12,40.8,57.26,1.14,17.3,"Rain, Overcast"
46,02,16,10,50.1,69.52,0.1,19.0,"Rain, Partially cloudy"
47,02,17,8,44.9,67.55,0.0,16.7,Partially cloudy
48,02,18,13,45.4,58.48,0.0,9.2,Clear
49,02,19,9,51.7,50.68,0.0,13.2,Clear
50,02,20,4,55.0,74.85,0.0,8.1,Partially cloudy
51,02,21,4,59.0,84.53,0.04,11.5,"Rain, Overcast"
52,02,22,6,60.3,87.83,0.94,7.5,"Rain, Overcast"
53,02,23,11,56.4,92.59,1.26,15.0,"Rain, Overcast"
54,02,24,5,53.8,73.59,0.89,21.4,"Rain, Overcast"
55,02,25,4,44.3,56.14,0.0,21.9,Partially cloudy
56,02,26,10,42.5,50.11,0.0,17.9,Partially cloudy
57,02,27,2,45.1,51.13,0.0,10.8,Clear
58,02,28,12,51.3,48.22,0.0,13.3,Clear
59,02,29,9,58.8,54.99,0.0,12.7,Clear
60,03,01,5,59.1,67.41,0.45,18.5,"Rain, Partially cloudy"
61,03,02,10,46.3,59.91,0.0,16.1,Partially cloudy
62,03,03,10,40.9,72.41,0.91,14.9,"Rain, Partially cloudy"
63,03,04,9,44.6,75.12,0.0,13.9,Partially cloudy
64,03,05,5,48.2,60.54,0.0,8.1,Clear
65,03,06,6,53.5,47.53,0.0,11.0,Clear
66,03,07,13,55.0,54.46,0.0,11.5,Partially cloudy
67,03,08,7,60.0,62.95,0.0,10.9,Partially cloudy
68,03,09,7,63.9,64.17,0.0,16.7,Partially cloudy
69,03,10,14,68.6,62.55,0.01,15.0,"Rain, Partially cloudy"
70,03,11,7,69.3,70.46,0.0,9.2,Partially cloudy
71,03,12,8,69.7,66.71,0.0,15.6,Partially cloudy
72,03,13,11,70.0,61.48,0.01,14.3,"Rain, Partially cloudy"
73,03,14,7,65.4,68.16,0.0,17.9,Partially cloudy
74,03,15,9,68.6,55.32,0.0,14.4,Clear
75,03,16,9,70.8,45.42,0.0,14.4,Partially cloudy
76,03,17,12,64.6,34.72,0.0,10.9,Partially cloudy
77,03,18,9,64.6,40.35,0.0,10.3,Partially cloudy
78,03,19,7,63.3,66.87,0.01,16.7,"Rain, Partially cloudy"
79,03,20,8,49.3,48.79,0.0,20.8,Partially cloudy
80,03,21,6,45.7,48.36,0.0,16.7,Clear
81,03,22,7,51.7,46.65,0.0,13.2,Clear
82,03,23,13,57.3,56.61,0.0,13.3,Partially cloudy
83,03,24,10,63.4,66.96,0.22,23.1,"Rain, Partially cloudy"
84,03,25,7,64.4,65.39,0.0,12.8,Overcast
85,03,26,3,59.3,82.59,0.02,10.4,"Rain, Overcast"
86,03,27,3,63.2,90.14,0.15,8.6,"Rain, Overcast"
87,03,28,13,63.4,67.3,0.02,14.4,"Rain, Partially cloudy"
88,03,29,10,58.5,44.45,0.0,10.4,Clear
