,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
0,0,0,1,1,6,42.8,67.84,0.0,13.3,Partially cloudy,22
1,1,1,1,2,15,40.0,58.12,0.0,13.8,Partially cloudy,52
2,2,2,1,3,7,42.2,54.95,0.0,12.7,Partially cloudy,26
3,3,3,1,4,13,38.5,53.05,0.0,16.7,Clear,49
4,4,4,1,5,10,34.6,44.61,0.0,12.6,Clear,39
5,5,5,1,6,12,36.4,40.56,0.0,15.6,Partially cloudy,41
6,6,6,1,7,12,50.1,56.86,0.0,11.7,Overcast,51
7,7,7,1,8,15,51.1,85.55,0.23,9.9,"Rain, Overcast",53
8,8,8,1,9,9,49.9,88.55,0.3,11.0,"Rain, Overcast",38
9,9,9,1,10,6,41.3,73.85,0.06,18.3,"Rain, Overcast",26
10,10,10,1,11,15,32.0,50.33,0.0,11.0,Clear,54
11,11,11,1,12,13,39.6,49.58,0.0,16.1,Clear,52
12,12,12,1,13,15,39.0,47.92,0.0,11.5,Clear,57
13,13,13,1,14,13,43.3,55.54,0.0,9.7,Partially cloudy,50
14,14,14,1,15,14,44.9,82.62,1.44,13.9,"Rain, Overcast",50
15,15,15,1,16,8,50.8,71.44,0.0,11.5,Partially cloudy,25
16,16,16,1,17,4,40.2,64.66,0.07,17.8,"Rain, Partially cloudy",14
17,17,17,1,18,11,31.7,48.58,0.0,16.1,Clear,43
18,18,18,1,19,9,28.3,42.25,0.0,12.7,Clear,36
19,19,19,1,20,13,35.2,61.03,0.11,7.5,"Rain, Overcast",48
20,20,20,1,21,16,43.1,83.7,0.45,12.8,"Rain, Overcast",66
21,21,21,1,22,12,40.1,88.58,1.86,18.5,"Rain, Overcast",44
22,22,22,1,23,7,29.5,69.25,0.0,24.7,Overcast,25
23,23,23,1,24,8,34.9,56.26,0.0,14.4,Clear,30
24,24,24,1,25,10,42.1,55.14,0.0,8.6,Partially cloudy,37
25,25,25,1,26,13,47.5,71.94,0.11,8.1,"Rain, Overcast",52
26,26,26,1,27,22,44.6,81.95,0.14,11.5,"Rain, Overcast",83
27,27,27,1,28,14,44.2,63.41,0.0,8.1,Partially cloudy,55
28,28,28,1,29,11,44.6,54.65,0.0,19.0,Clear,40
29,29,29,1,30,6,48.4,56.01,0.0,11.4,Clear,25
30,30,30,1,31,13,54.1,72.54,0.0,10.4,Partially cloudy,46
31,31,31,2,1,13,60.5,81.29,0.02,11.0,"Rain, Partially cloudy",46
32,32,32,2,2,15,62.2,81.33,0.01,19.6,"Rain, Overcast",54
33,33,33,2,3,11,60.7,83.0,2.0,18.5,"Rain, Overcast",41
34,34,34,2,4,9,45.9,53.17,0.0,19.0,Clear,35
35,35,35,2,5,10,39.1,40.22,0.0,23.1,Clear,37
36,36,36,2,6,9,39.6,47.33,0.0,9.3,Partially cloudy,34
37,37,37,2,7,6,42.2,45.93,0.0,13.3,Clear,18
38,38,38,2,8,11,42.5,47.61,0.0,19.0,Partially cloudy,40
39,39,39,2,9,5,33.7,55.5,0.0,18.1,Overcast,21
40,40,40,2,10,4,30.2,44.53,0.0,17.8,Partially cloudy,13
41,41,41,2,11,6,40.7,40.86,0.0,6.4,Clear,25
42,42,42,2,12,8,46.7,49.99,0.0,17.4,Partially cloudy,30
43,43,43,2,13,8,35.4,39.83,0.0,17.9,Clear,33
44,44,44,2,14,4,37.2,35.08,0.0,13.2,Partially cloudy,16
45,45,45,2,15,12,40.8,57.26,1.14,17.3,"Rain, Overcast",43
46,46,46,2,16,10,50.1,69.52,0.1,19.0,"Rain, Partially cloudy",34
47,47,47,2,17,8,44.9,67.55,0.0,16.7,Partially cloudy,35
48,48,48,2,18,13,45.4,58.48,0.0,9.2,Clear,46
49,49,49,2,19,9,51.7,50.68,0.0,13.2,Clear,35
50,50,50,2,20,4,55.0,74.85,0.0,8.1,Partially cloudy,15
51,51,51,2,21,4,59.0,84.53,0.04,11.5,"Rain, Overcast",16
52,52,52,2,22,6,60.3,87.83,0.94,7.5,"Rain, Overcast",24
53,53,53,2,23,11,56.4,92.59,1.26,15.0,"Rain, Overcast",40
54,54,54,2,24,5,53.8,73.59,0.89,21.4,"Rain, Overcast",18
55,55,55,2,25,4,44.3,56.14,0.0,21.9,Partially cloudy,17
56,56,56,2,26,10,42.5,50.11,0.0,17.9,Partially cloudy,40
57,57,57,2,27,2,45.1,51.13,0.0,10.8,Clear,7
58,58,58,2,28,12,51.3,48.22,0.0,13.3,Clear,45
59,59,59,2,29,9,58.8,54.99,0.0,12.7,Clear,33
60,60,60,3,1,5,59.1,67.41,0.45,18.5,"Rain, Partially cloudy",21
61,61,61,3,2,10,46.3,59.91,0.0,16.1,Partially cloudy,41
62,62,62,3,3,10,40.9,72.41,0.91,14.9,"Rain, Partially cloudy",39
63,63,63,3,4,9,44.6,75.12,0.0,13.9,Partially cloudy,35
64,64,64,3,5,5,48.2,60.54,0.0,8.1,Clear,21
65,65,65,3,6,6,53.5,47.53,0.0,11.0,Clear,24
66,66,66,3,7,13,55.0,54.46,0.0,11.5,Partially cloudy,47
67,67,67,3,8,7,60.0,62.95,0.0,10.9,Partially cloudy,27
68,68,68,3,9,7,63.9,64.17,0.0,16.7,Partially cloudy,26
69,69,69,3,10,14,68.6,62.55,0.01,15.0,"Rain, Partially cloudy",55
70,70,70,3,11,7,69.3,70.46,0.0,9.2,Partially cloudy,25
71,71,71,3,12,8,69.7,66.71,0.0,15.6,Partially cloudy,29
72,72,72,3,13,11,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",39
73,73,73,3,14,7,65.4,68.16,0.0,17.9,Partially cloudy,26
74,74,74,3,15,9,68.6,55.32,0.0,14.4,Clear,36
75,75,75,3,16,9,70.8,45.42,0.0,14.4,Partially cloudy,32
76,76,76,3,17,12,64.6,34.72,0.0,10.9,Partially cloudy,44
77,77,77,3,18,9,64.6,40.35,0.0,10.3,Partially cloudy,33
78,78,78,3,19,7,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",25
79,79,79,3,20,8,49.3,48.79,0.0,20.8,Partially cloudy,28
80,80,80,3,21,6,45.7,48.36,0.0,16.7,Clear,23
81,81,81,3,22,7,51.7,46.65,0.0,13.2,Clear,26
82,82,82,3,23,13,57.3,56.61,0.0,13.3,Partially cloudy,49
83,83,83,3,24,10,63.4,66.96,0.22,23.1,"Rain, Partially cloudy",38
84,84,84,3,25,7,64.4,65.39,0.0,12.8,Overcast,28
85,85,85,3,26,3,59.3,82.59,0.02,10.4,"Rain, Overcast",12
86,86,86,3,27,3,63.2,90.14,0.15,8.6,"Rain, Overcast",11
87,87,87,3,28,13,63.4,67.3,0.02,14.4,"Rain, Partially cloudy",46
88,88,88,3,29,10,58.5,44.45,0.0,10.4,Clear,36
89,89,89,3,30,5,60.1,51.55,0.0,12.6,Partially cloudy,22
90,90,90,3,31,12,66.7,75.43,0.08,15.6,"Rain, Overcast",48
91,91,91,4,1,11,66.3,86.63,1.3,10.3,"Rain, Overcast",41
92,92,92,4,2,9,58.4,54.94,0.05,21.4,"Rain, Partially cloudy",36
93,93,93,4,3,5,56.7,35.99,0.0,13.9,Clear,20
94,94,94,4,4,17,60.9,47.3,0.0,12.7,Clear,60
95,95,95,4,5,9,59.1,35.43,0.0,16.7,Clear,32
96,96,96,4,6,7,56.3,54.22,0.0,14.4,Partially cloudy,24
97,97,97,4,7,10,59.9,60.69,0.32,19.0,"Rain, Partially cloudy",36
