,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
0,1,6,1,36.4,40.56,0.0,15.6,Partially cloudy,4
1,1,8,1,51.1,85.55,0.23,9.9,"Rain, Overcast",4
2,1,13,1,39.0,47.92,0.0,11.5,Clear,4
3,1,16,1,50.8,71.44,0.0,11.5,Partially cloudy,3
4,1,21,1,43.1,83.7,0.45,12.8,"Rain, Overcast",4
5,1,22,1,40.1,88.58,1.86,18.5,"Rain, Overcast",3
6,1,23,1,29.5,69.25,0.0,24.7,Overcast,4
7,2,3,1,60.7,83.0,2.0,18.5,"Rain, Overcast",5
8,2,5,1,39.1,40.22,0.0,23.1,Clear,4
9,2,17,2,44.9,67.55,0.0,16.7,Partially cloudy,8
10,2,19,1,51.7,50.68,0.0,13.2,Clear,4
11,2,20,1,55.0,74.85,0.0,8.1,Partially cloudy,3
12,3,7,1,55.0,54.46,0.0,11.5,Partially cloudy,4
13,3,11,1,69.3,70.46,0.0,9.2,Partially cloudy,4
14,3,13,1,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",3
15,3,15,1,68.6,55.32,0.0,14.4,Clear,3
16,3,16,1,70.8,45.42,0.0,14.4,Partially cloudy,4
17,3,19,1,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",3
18,3,25,1,64.4,65.39,0.0,12.8,Overcast,3
19,3,26,1,59.3,82.59,0.02,10.4,"Rain, Overcast",5
20,4,2,1,58.4,54.94,0.05,21.4,"Rain, Partially cloudy",4
21,4,6,1,56.3,54.22,0.0,14.4,Partially cloudy,4
22,4,7,1,59.9,60.69,0.32,19.0,"Rain, Partially cloudy",4
23,4,9,1,52.5,35.2,0.0,23.0,Clear,4
24,4,10,1,50.2,43.36,0.0,11.4,Partially cloudy,3
25,4,25,1,69.7,64.99,0.0,14.3,Partially cloudy,3
26,4,26,2,71.0,68.02,0.0,9.7,Partially cloudy,9
27,5,2,1,73.4,72.02,0.03,12.6,"Rain, Partially cloudy",3
28,5,7,1,65.1,53.15,0.0,15.0,Clear,4
29,5,11,1,74.1,67.35,0.0,9.7,Partially cloudy,4
30,5,20,1,64.3,88.74,0.09,13.9,"Rain, Overcast",3
31,5,27,3,76.3,60.46,0.0,14.4,Partially cloudy,12
32,5,31,1,80.1,54.43,0.0,8.1,Partially cloudy,4
33,6,1,2,78.0,63.2,0.0,12.1,Partially cloudy,8
34,6,4,1,79.6,63.46,0.0,13.3,Partially cloudy,4
35,6,8,3,74.7,46.5,0.0,12.1,Clear,10
36,6,9,1,74.5,50.76,0.0,7.5,Partially cloudy,4
37,6,10,1,80.4,47.17,0.0,8.6,Partially cloudy,3
38,6,14,1,79.8,70.94,0.99,15.5,"Rain, Partially cloudy",3
39,6,17,2,78.0,73.59,0.1,16.7,"Rain, Partially cloudy",8
40,6,22,1,82.2,52.47,0.0,14.4,Partially cloudy,4
41,6,25,1,87.3,55.26,0.0,12.7,Partially cloudy,4
42,6,26,2,79.4,69.21,0.36,12.6,"Rain, Partially cloudy",7
43,7,1,1,83.1,57.13,0.0,13.2,Partially cloudy,3
44,7,2,1,84.5,51.39,0.0,10.8,Partially cloudy,4
45,7,4,1,84.3,64.56,0.02,12.7,"Rain, Partially cloudy",4
46,7,5,1,79.2,79.38,0.56,16.1,"Rain, Partially cloudy",3
47,7,6,1,76.3,82.65,0.76,14.4,"Rain, Partially cloudy",3
48,7,10,1,80.9,63.84,0.0,11.5,Partially cloudy,4
49,7,23,1,82.7,68.69,0.0,9.7,Partially cloudy,2
50,7,25,2,84.1,64.91,0.27,8.6,"Rain, Partially cloudy",7
51,7,30,1,78.6,80.29,0.76,8.6,"Rain, Partially cloudy",3
52,7,31,2,78.0,82.01,0.22,9.8,"Rain, Partially cloudy",8
53,8,4,3,81.7,74.66,0.18,9.7,"Rain, Partially cloudy",12
54,8,5,1,81.5,74.23,0.01,12.7,"Rain, Partially cloudy",4
55,8,8,1,81.3,75.54,0.05,11.0,"Rain, Overcast",3
56,8,22,1,79.1,68.9,0.0,10.3,Partially cloudy,4
57,8,25,1,80.4,72.07,0.0,6.9,Clear,4
58,8,28,1,82.1,68.14,0.0,10.9,Partially cloudy,3
59,9,2,1,76.0,79.55,1.16,14.5,"Rain, Overcast",4
60,9,5,1,77.1,65.16,0.0,6.4,Clear,4
61,9,6,1,78.2,61.86,0.0,7.5,Clear,5
62,9,11,1,80.6,63.1,0.0,10.3,Partially cloudy,4
63,9,14,1,80.0,63.49,0.0,12.1,Clear,4
64,9,15,1,80.6,59.51,0.0,9.2,Clear,3
65,9,16,1,79.1,62.05,0.0,12.1,Clear,4
66,9,23,1,78.2,67.19,0.0,8.0,Clear,4
67,10,1,1,65.0,62.65,0.0,9.7,Clear,4
68,10,2,1,67.9,63.89,0.0,8.6,Partially cloudy,4
69,10,3,1,71.2,61.92,0.0,6.9,Partially cloudy,3
70,10,18,1,71.3,69.43,0.0,9.7,Clear,4
71,10,25,1,63.0,52.67,0.0,9.2,Clear,4
72,10,28,1,68.8,64.42,0.0,9.2,Clear,4
73,10,31,1,69.6,56.54,0.0,6.4,Clear,3
74,11,1,3,68.5,62.36,0.0,11.4,Partially cloudy,12
75,11,2,1,67.4,79.43,0.0,7.5,Partially cloudy,4
76,11,3,1,69.6,66.64,0.0,11.0,Partially cloudy,4
77,11,9,1,58.2,51.29,0.0,17.4,Partially cloudy,3
78,11,10,1,53.9,50.74,0.0,7.5,Clear,5
79,11,12,1,56.7,46.9,0.0,17.9,Partially cloudy,3
80,11,18,1,60.2,54.4,0.0,7.5,Clear,3
81,11,19,1,52.7,52.59,0.0,22.5,Clear,3
82,11,20,1,44.6,31.95,0.0,17.2,Clear,3
83,11,23,1,53.7,52.38,0.0,11.4,Partially cloudy,4
84,11,28,1,57.8,54.34,0.0,20.8,Overcast,5
85,11,30,1,65.5,84.83,0.63,16.1,"Rain, Overcast",3
86,12,1,1,48.2,60.49,0.0,16.1,Clear,4
87,12,12,1,52.0,76.82,0.0,9.4,Overcast,4
88,12,13,1,50.4,93.79,0.06,8.3,"Rain, Overcast",4
89,12,24,1,57.2,66.6,0.0,8.0,Partially cloudy,4
90,12,26,1,58.6,87.61,0.01,10.3,"Rain, Overcast",4
91,12,31,1,39.8,60.94,0.12,8.0,"Rain, Overcast",4
