,Unnamed: 0,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Index,crime,number,date,location,beat,neighborhood,npu,lat,long,Year,latLong,store count
0,0,1,6,1,36.4,40.56,0.0,15.6,Partially cloudy,6894,HOMICIDE,160060319001,01/06/2016,590 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.77,-84.37,2016,"33.77,-84.37",4
1,1,1,8,1,51.1,85.55,0.23,9.9,"Rain, Overcast",6738,HOMICIDE,160081886002,01/08/2016,407 ILLINOIS AVE NW,107,Grove Park,J,33.77,-84.45,2016,"33.77,-84.45",4
2,2,1,13,1,39.0,47.92,0.0,11.5,Clear,6378,HOMICIDE,160131911003,01/13/2016,221 GRIFFIN ST NW,102,Vine City,L,33.76,-84.41,2016,"33.76,-84.41",4
3,3,1,16,1,50.8,71.44,0.0,11.5,Partially cloudy,6132,HOMICIDE,160160464004,01/16/2016,3141 BROWNS MILL RD SE,312,Glenrose Heights,Z,33.67,-84.38,2016,"33.67,-84.38",3
4,4,1,21,1,43.1,83.7,0.45,12.8,"Rain, Overcast",5748,HOMICIDE,160012349007,01/21/2016,3 CHARLESTON AVE SE,307,Lakewood Heights,Y,33.71,-84.38,2016,"33.71,-84.38",4
5,5,1,22,1,40.1,88.58,1.86,18.5,"Rain, Overcast",5611,HOMICIDE,160222901008,01/22/2016,345 LANIER ST NW,107,Grove Park,J,33.76,-84.44,2016,"33.76,-84.44",3
6,6,1,23,1,29.5,69.25,0.0,24.7,Overcast,5610,HOMICIDE,160230264009,01/23/2016,221 HARWELL RD NW,111,Collier Heights,I,33.78,-84.49,2016,"33.78,-84.49",4
7,7,2,3,1,60.7,83.0,2.0,18.5,"Rain, Overcast",11652,HOMICIDE,160192027010,02/03/2016,1097 HARWELL RD NW,112,Collier Heights,I,33.79,-84.49,2016,"33.79,-84.49",5
8,8,2,5,1,39.1,40.22,0.0,23.1,Clear,11517,HOMICIDE,160360440011,02/05/2016,622 SPENCER ST NW,102,Vine City,L,33.76,-84.41,2016,"33.76,-84.41",4
9,9,2,17,2,44.9,67.55,0.0,16.7,Partially cloudy,10669,HOMICIDE,160483379013,02/17/2016,765 PINEHURST TER SW,402,West End,T,33.73,-84.43,2016,"33.73,-84.43",4
10,9,2,17,2,44.9,67.55,0.0,16.7,Partially cloudy,10670,HOMICIDE,160482874012,02/17/2016,3041 LANDRUM DR SW,409,Southwest,R,33.71,-84.49,2016,"33.71,-84.49",4
11,10,2,19,1,51.7,50.68,0.0,13.2,Clear,10469,HOMICIDE,160501355014,02/19/2016,816 HANK AARON DR SE,304,Summerhill,V,33.73,-84.39,2016,"33.73,-84.39",4
12,11,2,20,1,55.0,74.85,0.0,8.1,Partially cloudy,10468,HOMICIDE,160510459015,02/20/2016,3137 LAKEWOOD AVE SW,306,Sylvan Hills,X,33.7,-84.42,2016,"33.7,-84.42",3
13,12,3,7,1,55.0,54.46,0.0,11.5,Partially cloudy,13519,HOMICIDE,160671058016,03/07/2016,1479 MOZLEY PL SW,104,Mozley Park,K,33.75,-84.44,2016,"33.75,-84.44",4
14,13,3,11,1,69.3,70.46,0.0,9.2,Partially cloudy,13256,HOMICIDE,160712472017,03/11/2016,2220 JONESBORO RD SE,308,Norwood Manor,Z,33.69,-84.37,2016,"33.69,-84.37",4
15,14,3,13,1,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",13111,HOMICIDE,160731909018,03/13/2016,2790 ALEXANDRIA DR SW,414,Deerwood,P,33.68,-84.51,2016,"33.68,-84.51",3
16,15,3,15,1,68.6,55.32,0.0,14.4,Clear,12892,HOMICIDE,160753376019,03/15/2016,920 NORTHSIDE DR NW,501,Home Park,E,33.78,-84.41,2016,"33.78,-84.41",3
17,16,3,16,1,70.8,45.42,0.0,14.4,Partially cloudy,12891,HOMICIDE,160762692020,03/16/2016,1163 METROPOLITAN PKWY SW,301,Adair Park,V,33.72,-84.41,2016,"33.72,-84.41",4
18,17,3,19,1,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",12685,HOMICIDE,160643381021,03/19/2016,2982 FOREST PARK RD SE,313,South River Gardens,Z,33.67,-84.36,2016,"33.67,-84.36",3
19,18,3,25,1,64.4,65.39,0.0,12.8,Overcast,12224,HOMICIDE,160850312023,03/25/2016,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7,-84.41,2016,"33.7,-84.41",3
20,19,3,26,1,59.3,82.59,0.02,10.4,"Rain, Overcast",12223,HOMICIDE,160853282024,03/26/2016,4073 BAKERS FERRY RD SW,407,Baker Hills,H,33.75,-84.52,2016,"33.75,-84.52",5
21,20,4,2,1,58.4,54.94,0.05,21.4,"Rain, Partially cloudy",16087,HOMICIDE,160930423025,04/02/2016,1665 DODSON DR SW,409,Laurens Valley,R,33.71,-84.47,2016,"33.71,-84.47",4
22,21,4,6,1,56.3,54.22,0.0,14.4,Partially cloudy,15635,HOMICIDE,160971382026,04/06/2016,1143 SELLS AVE NW,104,West End,T,33.75,-84.43,2016,"33.75,-84.43",4
23,22,4,7,1,59.9,60.69,0.32,19.0,"Rain, Partially cloudy",15634,HOMICIDE,160982840027,04/07/2016,1722 JONESBORO RD SE,307,Lakewood Heights,Y,33.71,-84.38,2016,"33.71,-84.38",4
24,23,4,9,1,52.5,35.2,0.0,23.0,Clear,15409,HOMICIDE,161002339028,04/09/2016,2884 CONNALLY DR SW,411,Greenbriar,R,33.69,-84.48,2016,"33.69,-84.48",4
25,24,4,10,1,50.2,43.36,0.0,11.4,Partially cloudy,15408,HOMICIDE,161010026029,04/10/2016,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.7,-84.42,2016,"33.7,-84.42",3
26,25,4,25,1,69.7,64.99,0.0,14.3,Partially cloudy,14284,HOMICIDE,161160172031,04/25/2016,2725 GRAND AVE SW,311,Hammond Park,X,33.68,-84.4,2016,"33.68,-84.4",3
27,26,4,26,2,71.0,68.02,0.0,9.7,Partially cloudy,14282,HOMICIDE,161112712032,04/26/2016,675 METROPOLITAN PKWY SW,301,Adair Park,V,33.74,-84.41,2016,"33.74,-84.41",4
28,26,4,26,2,71.0,68.02,0.0,9.7,Partially cloudy,14283,HOMICIDE,161152540030,04/26/2016,3195 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.79,-84.49,2016,"33.79,-84.49",5
29,27,5,2,1,73.4,72.02,0.03,12.6,"Rain, Partially cloudy",18637,HOMICIDE,161231583033,05/02/2016,1078 HILLBURN DR SE,612,East Atlanta,W,33.73,-84.33,2016,"33.73,-84.33",3
30,28,5,7,1,65.1,53.15,0.0,15.0,Clear,18270,HOMICIDE,161273148034,05/07/2016,295 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.76,-84.42,2016,"33.76,-84.42",4
31,29,5,11,1,74.1,67.35,0.0,9.7,Partially cloudy,17953,HOMICIDE,161321599035,05/11/2016,477 PEACHTREE ST NE,509,Downtown,M,33.77,-84.39,2016,"33.77,-84.39",4
32,30,5,20,1,64.3,88.74,0.09,13.9,"Rain, Overcast",17154,HOMICIDE,161410216037,05/20/2016,535 ELMWOOD RD NW,107,Grove Park,J,33.77,-84.44,2016,"33.77,-84.44",3
33,31,5,27,3,76.3,60.46,0.0,14.4,Partially cloudy,16598,HOMICIDE,161482643039,05/27/2016,319 MORRIS BROWN AVE NW,108,Dixie Hills,J,33.76,-84.45,2016,"33.76,-84.45",4
34,31,5,27,3,76.3,60.46,0.0,14.4,Partially cloudy,16600,HOMICIDE,161482899040,05/27/2016,1157 INDALE PL SW,403,Oakland City,S,33.72,-84.43,2016,"33.72,-84.43",4
35,31,5,27,3,76.3,60.46,0.0,14.4,Partially cloudy,16599,HOMICIDE,161481137038,05/27/2016,2592 BAKER RD NW,112,Collier Heights,I,33.77,-84.47,2016,"33.77,-84.47",4
36,32,5,31,1,80.1,54.43,0.0,8.1,Partially cloudy,16285,HOMICIDE,161520625041,05/31/2016,1305 OAKLAND DR SW,403,Oakland City,S,33.72,-84.43,2016,"33.72,-84.43",4
37,33,6,1,2,78.0,63.2,0.0,12.1,Partially cloudy,21116,HOMICIDE,161530132042,06/01/2016,462 RANKIN ST NE,603,Old Fourth Ward,M,33.77,-84.37,2016,"33.77,-84.37",4
38,33,6,1,2,78.0,63.2,0.0,12.1,Partially cloudy,21117,HOMICIDE,161530644043,06/01/2016,409 CAIRO ST NW,106,Bankhead,K,33.77,-84.42,2016,"33.77,-84.42",4
39,34,6,4,1,79.6,63.46,0.0,13.3,Partially cloudy,20918,HOMICIDE,161560177044,06/04/2016,1318 HARTFORD AVE SW,301,Capitol View,X,33.72,-84.42,2016,"33.72,-84.42",4
40,35,6,8,3,74.7,46.5,0.0,12.1,Clear,20622,HOMICIDE,161600287046,06/08/2016,2021 LEWIS RD SE,308,Norwood Manor,Z,33.7,-84.36,2016,"33.7,-84.36",3
41,35,6,8,3,74.7,46.5,0.0,12.1,Clear,20623,HOMICIDE,161600287045,06/08/2016,2021 LEWIS RD SE,308,Norwood Manor,Z,33.7,-84.36,2016,"33.7,-84.36",3
42,35,6,8,3,74.7,46.5,0.0,12.1,Clear,20621,HOMICIDE,161602106047,06/08/2016,2905 SPRINGDALE RD SW,311,Hammond Park,X,33.68,-84.42,2016,"33.68,-84.42",4
43,36,6,9,1,74.5,50.76,0.0,7.5,Partially cloudy,20456,HOMICIDE,161562338048,06/09/2016,866 MURPHY AVE SW,301,Adair Park,V,33.73,-84.41,2016,"33.73,-84.41",4
44,37,6,10,1,80.4,47.17,0.0,8.6,Partially cloudy,20455,HOMICIDE,161622061049,06/10/2016,1662 SYLVAN RD SW,306,Summerhill,V,33.74,-84.39,2016,"33.74,-84.39",3
