,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
0,1,1,21,42.8,67.84,0.0,13.3,Partially cloudy,77
1,1,2,28,40.0,58.12,0.0,13.8,Partially cloudy,93
2,1,3,24,42.2,54.95,0.0,12.7,Partially cloudy,82
3,1,4,29,38.5,53.05,0.0,16.7,Clear,98
4,1,5,27,34.6,44.61,0.0,12.6,Clear,90
5,1,6,24,36.4,40.56,0.0,15.6,Partially cloudy,87
6,1,7,14,50.1,56.86,0.0,11.7,Overcast,47
7,1,8,18,51.1,85.55,0.23,9.9,"Rain, Overcast",64
8,1,9,20,49.9,88.55,0.3,11.0,"Rain, Overcast",72
9,1,10,30,41.3,73.85,0.06,18.3,"Rain, Overcast",106
10,1,11,20,32.0,50.33,0.0,11.0,Clear,66
11,1,12,20,39.6,49.58,0.0,16.1,Clear,72
12,1,13,23,39.0,47.92,0.0,11.5,Clear,80
13,1,14,22,43.3,55.54,0.0,9.7,Partially cloudy,81
14,1,15,29,44.9,82.62,1.44,13.9,"Rain, Overcast",98
15,1,16,16,50.8,71.44,0.0,11.5,Partially cloudy,56
16,1,17,31,40.2,64.66,0.07,17.8,"Rain, Partially cloudy",101
17,1,18,26,31.7,48.58,0.0,16.1,Clear,94
18,1,19,19,28.3,42.25,0.0,12.7,Clear,62
19,1,20,22,35.2,61.03,0.11,7.5,"Rain, Overcast",75
20,1,21,9,43.1,83.7,0.45,12.8,"Rain, Overcast",33
21,1,22,15,40.1,88.58,1.86,18.5,"Rain, Overcast",56
22,1,23,23,29.5,69.25,0.0,24.7,Overcast,77
23,1,24,18,34.9,56.26,0.0,14.4,Clear,60
24,1,25,25,42.1,55.14,0.0,8.6,Partially cloudy,82
25,1,26,25,47.5,71.94,0.11,8.1,"Rain, Overcast",85
26,1,27,23,44.6,81.95,0.14,11.5,"Rain, Overcast",75
27,1,28,17,44.2,63.41,0.0,8.1,Partially cloudy,61
28,1,29,30,44.6,54.65,0.0,19.0,Clear,112
29,1,30,29,48.4,56.01,0.0,11.4,Clear,97
30,1,31,38,54.1,72.54,0.0,10.4,Partially cloudy,123
31,2,1,27,60.5,81.29,0.02,11.0,"Rain, Partially cloudy",88
32,2,2,24,62.2,81.33,0.01,19.6,"Rain, Overcast",76
33,2,3,14,60.7,83.0,2.0,18.5,"Rain, Overcast",45
34,2,4,19,45.9,53.17,0.0,19.0,Clear,65
35,2,5,21,39.1,40.22,0.0,23.1,Clear,74
36,2,6,30,39.6,47.33,0.0,9.3,Partially cloudy,99
