,Unnamed: 0,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Index,crime,number,date,location,beat,neighborhood,npu,lat,long,Year,latLong,store count
0,0,1,1,1,42.8,67.84,0.0,13.3,Partially cloudy,7257,RAPE,160010583,01/01/2016,3380 PEACHTREE RD NE,208,North Buckhead,B,33.85,-84.37,2016,"33.85,-84.37",3
1,1,1,7,1,50.1,56.86,0.0,11.7,Overcast,6759,RAPE,160071420,01/07/2016,1565 MARTIN L. KING JR. DRIVE NW @ MOZLEY  PARK,104,Mozley Park,K,33.75,-84.44,2016,"33.75,-84.44",4
2,2,1,8,1,51.1,85.55,0.23,9.9,"Rain, Overcast",6670,RAPE,160073129,01/08/2016,357 TERRY ST ,605,Capitol Gateway,V,33.75,-84.38,2016,"33.75,-84.38",3
3,3,1,10,1,41.3,73.85,0.06,18.3,"Rain, Overcast",6527,RAPE,160092337,01/10/2016,303 Parkway Dr NE,604,Old Fourth Ward,M,33.76,-84.37,2016,"33.76,-84.37",3
4,4,1,13,1,39.0,47.92,0.0,11.5,Clear,6375,RAPE,160133072,01/13/2016,1115 CONSTITUTION RD SE,308,Leila Valley,Z,33.69,-84.35,2016,"33.69,-84.35",3
5,5,1,15,2,44.9,82.62,1.44,13.9,"Rain, Overcast",6150,RAPE,160152646,01/15/2016,3351 HAZELWOOD DRIVE SW,406,,E,33.81,-84.4,2016,"33.81,-84.4",2
6,5,1,15,2,44.9,82.62,1.44,13.9,"Rain, Overcast",6173,RAPE,160150678,01/15/2016,2636 OLDKNOW DR NW,112,Collier Heights,I,33.77,-84.47,2016,"33.77,-84.47",4
7,6,1,16,1,50.8,71.44,0.0,11.5,Partially cloudy,6128,RAPE,160162667,01/16/2016,470 WHITEHALL ST SW ,507,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
8,7,1,17,1,40.2,64.66,0.07,17.8,"Rain, Partially cloudy",6004,RAPE,160171166,01/17/2016,967 DESOTO STREET NW,105,Washington Park,K,33.76,-84.42,2016,"33.76,-84.42",4
9,8,1,21,1,43.1,83.7,0.45,12.8,"Rain, Overcast",5726,RAPE,160212713,01/21/2016,168 AMHERST PL NW,204,Cross Creek,C,33.82,-84.43,2016,"33.82,-84.43",3
10,9,1,28,2,44.2,63.41,0.0,8.1,Partially cloudy,5188,RAPE,160282920,01/28/2016,210 PEACHTREE ST NW ,508,Downtown,M,33.76,-84.39,2016,"33.76,-84.39",3
11,9,1,28,2,44.2,63.41,0.0,8.1,Partially cloudy,5162,RAPE,160281833,01/28/2016,685 CEDAR AVE NW,109,Center Hill,J,33.77,-84.46,2016,"33.77,-84.46",4
12,10,1,31,1,54.1,72.54,0.0,10.4,Partially cloudy,4883,RAPE,160303245,01/31/2016,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76,-84.36,2016,"33.76,-84.36",3
13,11,2,1,1,60.5,81.29,0.02,11.0,"Rain, Partially cloudy",11760,RAPE,160321082,02/01/2016,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.72,-84.52,2016,"33.72,-84.52",5
14,12,2,3,1,60.7,83.0,2.0,18.5,"Rain, Overcast",11635,RAPE,160341982,02/03/2016,3307 ALEXANDER CIR NE,209,North Buckhead,B,33.86,-84.37,2016,"33.86,-84.37",3
15,13,2,6,1,39.6,47.33,0.0,9.3,Partially cloudy,11422,RAPE,160371121,02/06/2016,1414 POLLARD DR SW,409,Adams Park,R,33.72,-84.46,2016,"33.72,-84.46",4
16,14,2,8,2,42.5,47.61,0.0,19.0,Partially cloudy,11205,RAPE,160390725,02/08/2016,430 PARKWAY DR NE,603,Old Fourth Ward,M,33.77,-84.37,2016,"33.77,-84.37",4
17,14,2,8,2,42.5,47.61,0.0,19.0,Partially cloudy,11252,RAPE,160392550,02/08/2016,464 CALHOUN ST NW,501,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
18,15,2,14,1,37.2,35.08,0.0,13.2,Partially cloudy,10799,RAPE,160442852,02/14/2016,3540 N. CAMP CREEK PKWY ,414,,P,33.67,-84.5,2016,"33.67,-84.5",4
19,16,2,24,1,53.8,73.59,0.89,21.4,"Rain, Overcast",10186,RAPE,160553065,02/24/2016,540 CAMERON M ALEXANDER BLVD NW,103,English Avenue,L,33.77,-84.41,2016,"33.77,-84.41",3
20,17,2,27,1,45.1,51.13,0.0,10.8,Clear,9943,RAPE,160580119,02/27/2016,1600 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.8,-84.43,2016,"33.8,-84.43",3
21,18,2,28,1,51.3,48.22,0.0,13.3,Clear,9922,RAPE,160591926,02/28/2016,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67,-84.39,2016,"33.67,-84.39",3
22,19,3,1,1,59.1,67.41,0.45,18.5,"Rain, Partially cloudy",13889,RAPE,160611873,03/01/2016,1641 PEACHTREE ST NE ,502,Midtown,E,33.8,-84.39,2016,"33.8,-84.39",3
23,20,3,2,1,46.3,59.91,0.0,16.1,Partially cloudy,13849,RAPE,160622994,03/02/2016,17 GERTRUDE PL,110,Grove Park,J,33.78,-84.44,2016,"33.78,-84.44",3
24,21,3,3,1,40.9,72.41,0.91,14.9,"Rain, Partially cloudy",13778,RAPE,160631747,03/03/2016,477 PEACHTREE ST,509,Downtown,M,33.75,-84.38,2016,"33.75,-84.38",3
