,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
0,0,0,1,1,1,42.8,67.84,0.0,13.3,Partially cloudy,3
1,1,1,1,7,1,50.1,56.86,0.0,11.7,Overcast,4
2,2,2,1,8,1,51.1,85.55,0.23,9.9,"Rain, Overcast",3
3,3,3,1,10,1,41.3,73.85,0.06,18.3,"Rain, Overcast",3
4,4,4,1,13,1,39.0,47.92,0.0,11.5,Clear,3
5,5,5,1,15,2,44.9,82.62,1.44,13.9,"Rain, Overcast",6
6,6,6,1,16,1,50.8,71.44,0.0,11.5,Partially cloudy,3
7,7,7,1,17,1,40.2,64.66,0.07,17.8,"Rain, Partially cloudy",4
8,8,8,1,21,1,43.1,83.7,0.45,12.8,"Rain, Overcast",3
9,9,9,1,28,2,44.2,63.41,0.0,8.1,Partially cloudy,7
10,10,10,1,31,1,54.1,72.54,0.0,10.4,Partially cloudy,3
11,11,11,2,1,1,60.5,81.29,0.02,11.0,"Rain, Partially cloudy",5
12,12,12,2,3,1,60.7,83.0,2.0,18.5,"Rain, Overcast",3
13,13,13,2,6,1,39.6,47.33,0.0,9.3,Partially cloudy,4
14,14,14,2,8,2,42.5,47.61,0.0,19.0,Partially cloudy,7
15,15,15,2,14,1,37.2,35.08,0.0,13.2,Partially cloudy,4
16,16,16,2,24,1,53.8,73.59,0.89,21.4,"Rain, Overcast",3
17,17,17,2,27,1,45.1,51.13,0.0,10.8,Clear,3
18,18,18,2,28,1,51.3,48.22,0.0,13.3,Clear,3
19,19,19,3,1,1,59.1,67.41,0.45,18.5,"Rain, Partially cloudy",3
20,20,20,3,2,1,46.3,59.91,0.0,16.1,Partially cloudy,3
21,21,21,3,3,1,40.9,72.41,0.91,14.9,"Rain, Partially cloudy",3
22,22,22,3,5,1,48.2,60.54,0.0,8.1,Clear,4
23,23,23,3,6,1,53.5,47.53,0.0,11.0,Clear,3
24,24,24,3,7,1,55.0,54.46,0.0,11.5,Partially cloudy,4
25,25,25,3,10,1,68.6,62.55,0.01,15.0,"Rain, Partially cloudy",3
26,26,26,3,11,1,69.3,70.46,0.0,9.2,Partially cloudy,3
27,27,27,3,13,1,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",4
28,28,28,3,18,1,64.6,40.35,0.0,10.3,Partially cloudy,4
29,29,29,3,19,1,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",3
30,30,30,3,21,1,45.7,48.36,0.0,16.7,Clear,3
31,31,31,3,23,1,57.3,56.61,0.0,13.3,Partially cloudy,3
32,32,32,3,28,1,63.4,67.3,0.02,14.4,"Rain, Partially cloudy",4
33,33,33,4,4,1,60.9,47.3,0.0,12.7,Clear,2
34,34,34,4,5,1,59.1,35.43,0.0,16.7,Clear,2
