,Unnamed: 0,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Index,crime,number,date,location,beat,neighborhood,npu,lat,long,Year,latLong,store count
0,0,1,1,3,42.8,67.84,0.0,13.3,Partially cloudy,7233,ROBBERY-PEDESTRIAN,160012062,01/01/2016,2770 LENOX RD NE,210,Pine Hills,B,33.83,-84.36,2016,"33.83,-84.36",3
1,0,1,1,3,42.8,67.84,0.0,13.3,Partially cloudy,7200,ROBBERY-PEDESTRIAN,160010772,01/01/2016,350 PETERS ST SW,507,Castleberry Hill,M,33.75,-84.4,2016,"33.75,-84.4",3
2,0,1,1,3,42.8,67.84,0.0,13.3,Partially cloudy,7242,ROBBERY-PEDESTRIAN,160012284,01/01/2016,BEATIE AVE / GENESSEE AVE SW,301,Capitol View,X,33.72,-84.41,2016,"33.72,-84.41",4
3,1,1,2,3,40.0,58.12,0.0,13.8,Partially cloudy,7144,ROBBERY-PEDESTRIAN,160021343,01/02/2016,44 PRYOR ST SE,511,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
4,1,1,2,3,40.0,58.12,0.0,13.8,Partially cloudy,7147,ROBBERY-PEDESTRIAN,160021447,01/02/2016,2708 NOBLE CREEK DR NW,204,Cross Creek,C,33.82,-84.43,2016,"33.82,-84.43",3
5,1,1,2,3,40.0,58.12,0.0,13.8,Partially cloudy,7128,ROBBERY-PEDESTRIAN,160021064,01/02/2016,401 HOLDERNESS ST SW,401,West End,T,33.74,-84.43,2016,"33.74,-84.43",4
6,2,1,3,5,42.2,54.95,0.0,12.7,Partially cloudy,7106,ROBBERY-PEDESTRIAN,160032371,01/03/2016,242 BOULEVARD SE,606,Cabbagetown,N,33.75,-84.37,2016,"33.75,-84.37",3
7,2,1,3,5,42.2,54.95,0.0,12.7,Partially cloudy,7052,ROBBERY-PEDESTRIAN,160030163,01/03/2016,140 7TH ST NE,505,Midtown,E,33.78,-84.38,2016,"33.78,-84.38",3
8,2,1,3,5,42.2,54.95,0.0,12.7,Partially cloudy,7054,ROBBERY-PEDESTRIAN,160030406,01/03/2016,1685 RALPH D ABERNATHY BLVD SW,404,,I,33.75,-84.44,2016,"33.75,-84.44",4
9,2,1,3,5,42.2,54.95,0.0,12.7,Partially cloudy,7104,ROBBERY-PEDESTRIAN,160032356,01/03/2016,3032 STONE RD SW,411,Greenbriar,R,33.67,-84.5,2016,"33.67,-84.5",4
10,2,1,3,5,42.2,54.95,0.0,12.7,Partially cloudy,7110,ROBBERY-PEDESTRIAN,160032588,01/03/2016,291 PETERS ST SW,507,Castleberry Hill,M,33.75,-84.4,2016,"33.75,-84.4",3
11,3,1,4,5,38.5,53.05,0.0,16.7,Clear,7041,ROBBERY-PEDESTRIAN,160042980,01/04/2016,209 PEACHTREE ST NE,510,Downtown,M,33.76,-84.39,2016,"33.76,-84.39",3
12,3,1,4,5,38.5,53.05,0.0,16.7,Clear,7037,ROBBERY-PEDESTRIAN,160042749,01/04/2016,2798 PEEK RD NW,112,Collier Heights,I,33.78,-84.48,2016,"33.78,-84.48",4
13,3,1,4,5,38.5,53.05,0.0,16.7,Clear,7021,ROBBERY-PEDESTRIAN,160042285,01/04/2016,45 WHITEHOUSE DR SW,104,Ashview Heights,T,33.75,-84.42,2016,"33.75,-84.42",4
14,3,1,4,5,38.5,53.05,0.0,16.7,Clear,6965,ROBBERY-PEDESTRIAN,160040094,01/04/2016,20 STANDISH AVE NW,207,Brookwood,E,33.8,-84.39,2016,"33.8,-84.39",3
15,3,1,4,5,38.5,53.05,0.0,16.7,Clear,7026,ROBBERY-PEDESTRIAN,160042509,01/04/2016,3048 MIDDLETON RD NW,111,,I,33.75,-84.49,2016,"33.75,-84.49",4
16,4,1,5,4,34.6,44.61,0.0,12.6,Clear,6942,ROBBERY-PEDESTRIAN,160052820,01/05/2016,323 8TH ST NE,506,Midtown,E,33.78,-84.38,2016,"33.78,-84.38",3
17,4,1,5,4,34.6,44.61,0.0,12.6,Clear,6895,ROBBERY-PEDESTRIAN,160043107,01/05/2016,1434 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.74,-84.44,2016,"33.74,-84.44",4
18,4,1,5,4,34.6,44.61,0.0,12.6,Clear,6939,ROBBERY-PEDESTRIAN,160052787,01/05/2016,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79,-84.4,2016,"33.79,-84.4",4
19,4,1,5,4,34.6,44.61,0.0,12.6,Clear,6945,ROBBERY-PEDESTRIAN,160052873,01/05/2016,2945 STONE HOGAN CONN SW,411,Greenbriar,R,33.68,-84.5,2016,"33.68,-84.5",5
20,5,1,6,4,36.4,40.56,0.0,15.6,Partially cloudy,6883,ROBBERY-PEDESTRIAN,160061586,01/06/2016,JOSEPH E LOWERY BLVD SW / FAIR ST SW,104,Atlanta University Center,T,33.75,-84.42,2016,"33.75,-84.42",4
21,5,1,6,4,36.4,40.56,0.0,15.6,Partially cloudy,6837,ROBBERY-PEDESTRIAN,160063069,01/06/2016,78 FAIRFIELD PL NW,108,Dixie Hills,J,33.76,-84.46,2016,"33.76,-84.46",4
22,5,1,6,4,36.4,40.56,0.0,15.6,Partially cloudy,6839,ROBBERY-PEDESTRIAN,160063098,01/06/2016,830 VERDADO WAY,506,Midtown,E,33.78,-84.37,2016,"33.78,-84.37",3
23,5,1,6,4,36.4,40.56,0.0,15.6,Partially cloudy,6834,ROBBERY-PEDESTRIAN,160062956,01/06/2016,2694 FAIRLANE DR SE,310,Rosedale Heights,Z,33.68,-84.38,2016,"33.68,-84.38",3
24,6,1,7,3,50.1,56.86,0.0,11.7,Overcast,6748,ROBBERY-PEDESTRIAN,160070802,01/07/2016,185 CENTRAL AVE SW,512,Downtown,M,33.75,-84.39,2016,"33.75,-84.39",3
25,6,1,7,3,50.1,56.86,0.0,11.7,Overcast,6808,ROBBERY-PEDESTRIAN,160073238,01/07/2016,154 KROG ST NE,602,Inman Park,N,33.76,-84.36,2016,"33.76,-84.36",3
26,6,1,7,3,50.1,56.86,0.0,11.7,Overcast,6814,ROBBERY-PEDESTRIAN,160063148,01/07/2016,62 HARWELL RD NW,111,,I,33.75,-84.49,2016,"33.75,-84.49",4
27,7,1,9,3,49.9,88.55,0.3,11.0,"Rain, Overcast",6656,ROBBERY-PEDESTRIAN,160092804,01/09/2016,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7,-84.41,2016,"33.7,-84.41",3
28,7,1,9,3,49.9,88.55,0.3,11.0,"Rain, Overcast",6627,ROBBERY-PEDESTRIAN,160091475,01/09/2016,1015 MAYSON TURNER RD NW,105,Washington Park,K,33.76,-84.42,2016,"33.76,-84.42",4
29,7,1,9,3,49.9,88.55,0.3,11.0,"Rain, Overcast",6610,ROBBERY-PEDESTRIAN,160090803,01/09/2016,177 MOURY AVE SW,305,The Villages at Carver,Y,33.71,-84.39,2016,"33.71,-84.39",4
30,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6551,ROBBERY-PEDESTRIAN,160100699,01/10/2016,536 NORTH AVE NE,603,Old Fourth Ward,M,33.77,-84.37,2016,"33.77,-84.37",4
31,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6541,ROBBERY-PEDESTRIAN,160100314,01/10/2016,200 HUNNICUTT ST NW,504,Downtown,M,33.77,-84.39,2016,"33.77,-84.39",4
32,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6558,ROBBERY-PEDESTRIAN,160101020,01/10/2016,2053 TIGER FLOWERS DR NW,108,Dixie Hills,J,33.76,-84.45,2016,"33.76,-84.45",4
33,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6593,ROBBERY-PEDESTRIAN,160102534,01/10/2016,1718 LISBON DR SW,306,Sylvan Hills,X,33.71,-84.41,2016,"33.71,-84.41",4
34,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6544,ROBBERY-PEDESTRIAN,160100353,01/10/2016,1680 S GORDON ST SW,404,Westview,T,33.74,-84.44,2016,"33.74,-84.44",4
35,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6592,ROBBERY-PEDESTRIAN,160102522,01/10/2016,1497 ROGERS AVE,404,Westview,T,33.74,-84.44,2016,"33.74,-84.44",4
36,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6566,ROBBERY-PEDESTRIAN,160101284,01/10/2016,14TH ST NE / PEACHTREE ST NE,502,Midtown,E,33.79,-84.38,2016,"33.79,-84.38",3
37,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",6586,ROBBERY-PEDESTRIAN,160102244,01/10/2016,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.73,-84.4,2016,"33.73,-84.4",3
38,9,1,11,1,32.0,50.33,0.0,11.0,Clear,6518,ROBBERY-PEDESTRIAN,160113027,01/11/2016,1077 BIRCH ST SW,306,Sylvan Hills,X,33.71,-84.42,2016,"33.71,-84.42",4
39,10,1,12,3,39.6,49.58,0.0,16.1,Clear,6402,ROBBERY-PEDESTRIAN,160121234,01/12/2016,514 HUTCHENS RD SE,313,South River Gardens,Z,33.67,-84.37,2016,"33.67,-84.37",3
40,10,1,12,3,39.6,49.58,0.0,16.1,Clear,6381,ROBBERY-PEDESTRIAN,160113264,01/12/2016,1904 LAKEWOOD TERR SE,307,Lakewood Heights,Y,33.7,-84.38,2016,"33.7,-84.38",4
41,10,1,12,3,39.6,49.58,0.0,16.1,Clear,6417,ROBBERY-PEDESTRIAN,160121700,01/12/2016,2850 SPRINGDALE RD SW,311,Hammond Park,X,33.68,-84.42,2016,"33.68,-84.42",4
42,11,1,13,1,39.0,47.92,0.0,11.5,Clear,6369,ROBBERY-PEDESTRIAN,160132915,01/13/2016,438 MORELAND AVE NE,602,Inman Park,N,33.77,-84.35,2016,"33.77,-84.35",3
43,12,1,14,5,43.3,55.54,0.0,9.7,Partially cloudy,6254,ROBBERY-PEDESTRIAN,160141558,01/14/2016,730 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77,-84.36,2016,"33.77,-84.36",3
44,12,1,14,5,43.3,55.54,0.0,9.7,Partially cloudy,6221,ROBBERY-PEDESTRIAN,160140321,01/14/2016,2 KROG ST NE,602,Inman Park,N,33.75,-84.36,2016,"33.75,-84.36",3
45,12,1,14,5,43.3,55.54,0.0,9.7,Partially cloudy,6276,ROBBERY-PEDESTRIAN,160142658,01/14/2016,964 RALPH D ABERNATHY BLVD SW,401,West End,T,33.74,-84.42,2016,"33.74,-84.42",4
46,12,1,14,5,43.3,55.54,0.0,9.7,Partially cloudy,6283,ROBBERY-PEDESTRIAN,160142865,01/14/2016,1365 EPWORTH ST SW,403,Venetian Hills,S,33.72,-84.43,2016,"33.72,-84.43",4
47,12,1,14,5,43.3,55.54,0.0,9.7,Partially cloudy,6296,ROBBERY-PEDESTRIAN,160143293,01/14/2016,3020 THORNBERRY LN SW,414,Brentwood,P,33.67,-84.51,2016,"33.67,-84.51",4
48,13,1,15,2,44.9,82.62,1.44,13.9,"Rain, Overcast",6206,ROBBERY-PEDESTRIAN,160151714,01/15/2016,249 PETERS ST SW,507,Castleberry Hill,M,33.75,-84.4,2016,"33.75,-84.4",3
