,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
0,0,0,1,1,3,42.8,67.84,0.0,13.3,Partially cloudy,10
1,1,1,1,2,3,40.0,58.12,0.0,13.8,Partially cloudy,10
2,2,2,1,3,5,42.2,54.95,0.0,12.7,Partially cloudy,17
3,3,3,1,4,5,38.5,53.05,0.0,16.7,Clear,18
4,4,4,1,5,4,34.6,44.61,0.0,12.6,Clear,16
5,5,5,1,6,4,36.4,40.56,0.0,15.6,Partially cloudy,14
6,6,6,1,7,3,50.1,56.86,0.0,11.7,Overcast,10
7,7,7,1,9,3,49.9,88.55,0.3,11.0,"Rain, Overcast",11
8,8,8,1,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast",30
9,9,9,1,11,1,32.0,50.33,0.0,11.0,Clear,4
10,10,10,1,12,3,39.6,49.58,0.0,16.1,Clear,11
11,11,11,1,13,1,39.0,47.92,0.0,11.5,Clear,3
12,12,12,1,14,5,43.3,55.54,0.0,9.7,Partially cloudy,18
13,13,13,1,15,2,44.9,82.62,1.44,13.9,"Rain, Overcast",7
14,14,14,1,16,8,50.8,71.44,0.0,11.5,Partially cloudy,28
15,15,15,1,17,8,40.2,64.66,0.07,17.8,"Rain, Partially cloudy",28
16,16,16,1,18,4,31.7,48.58,0.0,16.1,Clear,14
17,17,17,1,19,2,28.3,42.25,0.0,12.7,Clear,8
18,18,18,1,20,5,35.2,61.03,0.11,7.5,"Rain, Overcast",17
19,19,19,1,21,5,43.1,83.7,0.45,12.8,"Rain, Overcast",18
20,20,20,1,22,4,40.1,88.58,1.86,18.5,"Rain, Overcast",17
21,21,21,1,23,4,29.5,69.25,0.0,24.7,Overcast,13
22,22,22,1,24,7,34.9,56.26,0.0,14.4,Clear,23
23,23,23,1,25,5,42.1,55.14,0.0,8.6,Partially cloudy,16
24,24,24,1,26,4,47.5,71.94,0.11,8.1,"Rain, Overcast",14
25,25,25,1,27,5,44.6,81.95,0.14,11.5,"Rain, Overcast",21
26,26,26,1,28,1,44.2,63.41,0.0,8.1,Partially cloudy,3
27,27,27,1,29,5,44.6,54.65,0.0,19.0,Clear,17
28,28,28,1,30,3,48.4,56.01,0.0,11.4,Clear,11
29,29,29,1,31,8,54.1,72.54,0.0,10.4,Partially cloudy,26
30,30,30,2,1,3,60.5,81.29,0.02,11.0,"Rain, Partially cloudy",9
31,31,31,2,2,6,62.2,81.33,0.01,19.6,"Rain, Overcast",19
32,32,32,2,3,4,60.7,83.0,2.0,18.5,"Rain, Overcast",16
33,33,33,2,4,5,45.9,53.17,0.0,19.0,Clear,16
34,34,34,2,5,5,39.1,40.22,0.0,23.1,Clear,18
35,35,35,2,6,4,39.6,47.33,0.0,9.3,Partially cloudy,15
36,36,36,2,7,8,42.2,45.93,0.0,13.3,Clear,33
37,37,37,2,8,2,42.5,47.61,0.0,19.0,Partially cloudy,8
38,38,38,2,9,4,33.7,55.5,0.0,18.1,Overcast,18
39,39,39,2,10,1,30.2,44.53,0.0,17.8,Partially cloudy,3
40,40,40,2,11,4,40.7,40.86,0.0,6.4,Clear,14
41,41,41,2,13,1,35.4,39.83,0.0,17.9,Clear,3
42,42,42,2,14,6,37.2,35.08,0.0,13.2,Partially cloudy,19
43,43,43,2,15,3,40.8,57.26,1.14,17.3,"Rain, Overcast",12
44,44,44,2,17,3,44.9,67.55,0.0,16.7,Partially cloudy,11
45,45,45,2,18,6,45.4,58.48,0.0,9.2,Clear,22
46,46,46,2,19,3,51.7,50.68,0.0,13.2,Clear,9
47,47,47,2,20,5,55.0,74.85,0.0,8.1,Partially cloudy,18
48,48,48,2,21,4,59.0,84.53,0.04,11.5,"Rain, Overcast",12
49,49,49,2,23,3,56.4,92.59,1.26,15.0,"Rain, Overcast",10
50,50,50,2,24,1,53.8,73.59,0.89,21.4,"Rain, Overcast",4
51,51,51,2,25,3,44.3,56.14,0.0,21.9,Partially cloudy,10
52,52,52,2,26,2,42.5,50.11,0.0,17.9,Partially cloudy,8
53,53,53,2,27,7,45.1,51.13,0.0,10.8,Clear,24
54,54,54,2,28,5,51.3,48.22,0.0,13.3,Clear,17
55,55,55,2,29,1,58.8,54.99,0.0,12.7,Clear,4
56,56,56,3,1,2,59.1,67.41,0.45,18.5,"Rain, Partially cloudy",7
57,57,57,3,4,6,44.6,75.12,0.0,13.9,Partially cloudy,20
58,58,58,3,5,3,48.2,60.54,0.0,8.1,Clear,11
59,59,59,3,6,4,53.5,47.53,0.0,11.0,Clear,14
60,60,60,3,7,6,55.0,54.46,0.0,11.5,Partially cloudy,24
61,61,61,3,8,3,60.0,62.95,0.0,10.9,Partially cloudy,8
62,62,62,3,9,4,63.9,64.17,0.0,16.7,Partially cloudy,15
63,63,63,3,10,3,68.6,62.55,0.01,15.0,"Rain, Partially cloudy",13
64,64,64,3,11,3,69.3,70.46,0.0,9.2,Partially cloudy,13
65,65,65,3,12,6,69.7,66.71,0.0,15.6,Partially cloudy,22
66,66,66,3,13,1,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",4
67,67,67,3,14,4,65.4,68.16,0.0,17.9,Partially cloudy,15
68,68,68,3,15,6,68.6,55.32,0.0,14.4,Clear,25
69,69,69,3,16,7,70.8,45.42,0.0,14.4,Partially cloudy,23
70,70,70,3,17,4,64.6,34.72,0.0,10.9,Partially cloudy,14
71,71,71,3,18,3,64.6,40.35,0.0,10.3,Partially cloudy,9
72,72,72,3,19,4,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",15
73,73,73,3,20,3,49.3,48.79,0.0,20.8,Partially cloudy,10
74,74,74,3,21,5,45.7,48.36,0.0,16.7,Clear,19
75,75,75,3,22,4,51.7,46.65,0.0,13.2,Clear,15
76,76,76,3,23,1,57.3,56.61,0.0,13.3,Partially cloudy,3
77,77,77,3,25,3,64.4,65.39,0.0,12.8,Overcast,10
78,78,78,3,26,5,59.3,82.59,0.02,10.4,"Rain, Overcast",17
79,79,79,3,27,4,63.2,90.14,0.15,8.6,"Rain, Overcast",15
80,80,80,3,28,2,63.4,67.3,0.02,14.4,"Rain, Partially cloudy",8
81,81,81,3,29,3,58.5,44.45,0.0,10.4,Clear,12
82,82,82,3,30,2,60.1,51.55,0.0,12.6,Partially cloudy,8
83,83,83,3,31,3,66.7,75.43,0.08,15.6,"Rain, Overcast",11
84,84,84,4,1,9,66.3,86.63,1.3,10.3,"Rain, Overcast",29
85,85,85,4,2,6,58.4,54.94,0.05,21.4,"Rain, Partially cloudy",23
86,86,86,4,3,5,56.7,35.99,0.0,13.9,Clear,16
87,87,87,4,4,3,60.9,47.3,0.0,12.7,Clear,11
88,88,88,4,5,6,59.1,35.43,0.0,16.7,Clear,22
89,89,89,4,6,11,56.3,54.22,0.0,14.4,Partially cloudy,39
90,90,90,4,7,8,59.9,60.69,0.32,19.0,"Rain, Partially cloudy",25
91,91,91,4,8,5,55.9,48.32,0.02,19.6,"Rain, Partially cloudy",18
92,92,92,4,9,5,52.5,35.2,0.0,23.0,Clear,18
93,93,93,4,10,6,50.2,43.36,0.0,11.4,Partially cloudy,22
94,94,94,4,11,5,58.2,70.46,0.38,9.7,"Rain, Partially cloudy",18
95,95,95,4,12,5,63.3,73.18,0.27,18.5,"Rain, Partially cloudy",19
96,96,96,4,13,2,58.6,67.56,0.0,15.0,Overcast,6
97,97,97,4,14,2,61.4,68.14,0.04,16.2,"Rain, Overcast",7
98,98,98,4,15,8,60.0,48.21,0.0,20.2,Overcast,29
99,99,99,4,16,6,62.7,49.25,0.0,18.5,Partially cloudy,22
100,100,100,4,17,2,60.7,46.0,0.0,12.8,Clear,8
101,101,101,4,18,2,64.6,48.12,0.0,8.6,Clear,7
102,102,102,4,19,3,67.2,47.53,0.0,8.1,Partially cloudy,10
103,103,103,4,20,1,70.6,48.61,0.0,10.2,Partially cloudy,4
104,104,104,4,21,3,66.4,65.27,0.1,15.4,"Rain, Partially cloudy",12
105,105,105,4,22,4,65.3,81.71,0.37,9.7,"Rain, Overcast",14
106,106,106,4,23,5,65.8,65.03,0.0,16.1,Clear,17
107,107,107,4,24,5,66.9,57.62,0.0,9.2,Clear,17
108,108,108,4,25,5,69.7,64.99,0.0,14.3,Partially cloudy,18
109,109,109,4,26,4,71.0,68.02,0.0,9.7,Partially cloudy,13
110,110,110,4,27,5,71.9,65.82,0.0,11.5,Partially cloudy,17
111,111,111,4,28,2,73.5,68.27,0.0,10.9,Partially cloudy,7
